user_id,item_id,gender,role,item_label,click_label
12,4,0,1,生活用品,1
12,8,0,1,毕业季闲置,1
12,10,0,1,教材教辅,0
12,14,0,1,毕业季闲置,1
12,16,0,1,教材教辅,1
12,20,0,1,生活用品,1
12,22,0,1,毕业季闲置,1
12,28,0,1,生活用品,0
12,33,0,1,教材教辅,1
12,40,0,1,电子产品,1
13,8,0,2,毕业季闲置,1
13,11,0,2,生活用品,1
13,15,0,2,教材教辅,1
13,17,0,2,生活用品,0
13,21,0,2,生活用品,1
13,25,0,2,教材教辅,1
13,30,0,2,教材教辅,1
13,36,0,2,生活用品,1
13,44,0,2,教材教辅,0
13,50,0,2,电子产品,1
15,10,0,2,教材教辅,1
15,15,0,2,教材教辅,1
15,18,0,2,生活用品,1
15,22,0,2,毕业季闲置,1
15,26,0,2,教材教辅,0
15,29,0,2,毕业季闲置,1
15,31,0,2,生活用品,1
15,38,0,2,教材教辅,1
15,42,0,2,毕业季闲置,1
15,49,0,2,生活用品,0
17,11,1,3,生活用品,1
17,16,1,3,教材教辅,1
17,19,1,3,电子产品,1
17,23,1,3,毕业季闲置,1
17,27,1,3,电子产品,0
17,32,1,3,生活用品,1
17,35,1,3,毕业季闲置,1
17,41,1,3,教材教辅,1
17,47,1,3,教材教辅,0
17,63,1,3,3213,1
19,14,1,1,毕业季闲置,1
19,17,1,1,生活用品,1
19,20,1,1,生活用品,1
19,24,1,1,电子产品,1
19,34,1,1,毕业季闲置,0
19,37,1,1,教材教辅,1
19,39,1,1,电子产品,1
19,43,1,1,毕业季闲置,1
19,46,1,1,生活用品,0
20,15,0,3,教材教辅,1
20,18,0,3,生活用品,1
20,25,0,3,教材教辅,1
20,28,0,3,生活用品,1
20,33,0,3,教材教辅,0
20,45,0,3,教材教辅,1
20,48,0,3,电子产品,1
22,16,0,2,教材教辅,1
22,19,0,2,电子产品,1
22,26,0,2,教材教辅,1
22,31,0,2,生活用品,1
22,36,0,2,生活用品,0
22,44,0,2,教材教辅,1
22,63,0,2,3213,1
23,17,0,2,生活用品,1
23,20,0,2,生活用品,1
23,27,0,2,电子产品,1
23,35,0,2,毕业季闲置,1
23,38,0,2,教材教辅,0
23,42,0,2,毕业季闲置,1
23,50,0,2,电子产品,1
27,18,0,1,生活用品,1
27,21,0,1,生活用品,1
27,29,0,1,毕业季闲置,1
27,32,0,1,生活用品,1
27,40,0,1,电子产品,0
27,41,0,1,教材教辅,1
27,47,0,1,教材教辅,1
27,63,0,1,3213,1
28,19,0,1,电子产品,1
28,22,0,1,毕业季闲置,1
28,30,0,1,教材教辅,1
28,34,0,1,毕业季闲置,1
28,39,0,1,电子产品,0
28,43,0,1,毕业季闲置,1
28,46,0,1,生活用品,1
